Scientific name	Comments	WORMS Authority	WORMS Rank	WORMS Kingdom	WORMS Phylum	WORMS Class	WORMS Order	WORMS Family	WORMS Genus	WORMS AphiaID
Diastylis glabra		Zimmer, 1900	Species	Animalia	Arthropoda	Malacostraca	Cumacea	Diastylidae	Diastylis	110478
Diastylis goodsiri		(Bell, 1855)	Species	Animalia	Arthropoda	Malacostraca	Cumacea	Diastylidae	Diastylis	110479
Diastylis laevis		Norman, 1869	Species	Animalia	Arthropoda	Malacostraca	Cumacea	Diastylidae	Diastylis	110481
Diastylis lucifera		(Krøyer, 1837)	Species	Animalia	Arthropoda	Malacostraca	Cumacea	Diastylidae	Diastylis	110483
Diastylis luficera		(Krøyer, 1837)	Species	Animalia	Arthropoda	Malacostraca	Cumacea	Diastylidae	Diastylis	110483
Diastylis rathkei		(Krøyer, 1841)	Species	Animalia	Arthropoda	Malacostraca	Cumacea	Diastylidae	Diastylis	110487
Diastylis rugosa		Sars, 1865	Species	Animalia	Arthropoda	Malacostraca	Cumacea	Diastylidae	Diastylis	110488
Diastylis tumida		(Liljeborg, 1855)	Species	Animalia	Arthropoda	Malacostraca	Cumacea	Diastylidae	Diastylis	110492
Diastyloides		G.O. Sars, 1900	Genus	Animalia	Arthropoda	Malacostraca	Cumacea	Diastylidae	Diastyloides	110399
Diastyloides biplicatus		(Sars G.O., 1865)	Species	Animalia	Arthropoda	Malacostraca	Cumacea	Diastylidae	Diastyloides	110494
Diastyloides serratus		(Sars G.O., 1865)	Species	Animalia	Arthropoda	Malacostraca	Cumacea	Diastylidae	Diastyloides	110497
Diatoma tenuis		C.Agardh, 1812	Species	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Diatoma	149014
Diatoma vulgaris var. vulgaris		Bory de Saint-Vincent, 1824	Variety	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Diatoma	695320
Dicroerisma psilonereiella		Taylor & Cattell, 1969	Species	Chromista	Myzozoa	Dinophyceae	Actiniscales	Actiniscaceae	Dicroerisma	232110
Dictyocha		Ehrenberg, 1837	Genus	Chromista	Ochrophyta	Dictyochophyceae	Dictyochales	Dictyochaceae	Dictyocha	157258
Dictyocha fibula		Ehrenberg, 1839	Species	Chromista	Ochrophyta	Dictyochophyceae	Dictyochales	Dictyochaceae	Dictyocha	157463
Dictyocha speculum		Ehrenberg, 1839	Species	Chromista	Ochrophyta	Dictyochophyceae	Dictyochales	Dictyochaceae	Dictyocha	157260
Dictyosiphon		Greville, 1830	Genus	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Chordariaceae	Dictyosiphon	144067
Dictyosiphon chordaria		Areschoug, 1847	Species	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Chordariaceae	Dictyosiphon	145319
Dictyosiphon foeniculaceus		(Hudson) Greville, 1830	Species	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Chordariaceae	Dictyosiphon	145322
Dictyosphaerium		Nägeli, 1849	Genus	Plantae	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Dictyosphaerium	178623
Dictyosphaerium ehrenberg		Nägeli, 1849	Species	Plantae	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Dictyosphaerium	178625
Dictyosphaerium ehrenbergianum		Nägeli, 1849	Species	Plantae	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Dictyosphaerium	178625
Dictyosphaerium subsolitarium		Van Goor, 1924	Species	Plantae	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Dictyosphaerium	576240
Didinium		Stein, 1859	Genus	Chromista	Ciliophora	Litostomatea	Haptorida	Didiniidae	Didinium	341301
Didinium nasutum		(Müller, 1773) Stein, 1859	Species	Chromista	Ciliophora	Litostomatea	Haptorida	Didiniidae	Didinium	417328
Dilsea carnosa		(Schmidel) Kuntze, 1898	Species	Plantae	Rhodophyta	Florideophyceae	Gigartinales	Dumontiaceae	Dilsea	145222
Dinobryon		Ehrenberg, 1834	Genus	Chromista	Ochrophyta	Chrysophyceae	Chromulinales	Dinobryaceae	Dinobryon	157240
Dinobryon balticum		(Schütt) Lemmermann, 1900	Species	Chromista	Ochrophyta	Chrysophyceae	Chromulinales	Dinobryaceae	Dinobryon	160552
Dinobryon bavaricum		Imhof, 1890	Species	Chromista	Ochrophyta	Chrysophyceae	Chromulinales	Dinobryaceae	Dinobryon	157242
Dinobryon borgei		Lemmermann, 1900	Species	Chromista	Ochrophyta	Chrysophyceae	Chromulinales	Dinobryaceae	Dinobryon	571655
Dinobryon crenulatum		West & G.S.West, 1909	Species	Chromista	Ochrophyta	Chrysophyceae	Chromulinales	Dinobryaceae	Dinobryon	572033
Dinobryon cylindricum		O.E.Imhof, 1887	Species	Chromista	Ochrophyta	Chrysophyceae	Chromulinales	Dinobryaceae	Dinobryon	157246
Dinobryon divergens		O.E.Imhof, 1887	Species	Chromista	Ochrophyta	Chrysophyceae	Chromulinales	Dinobryaceae	Dinobryon	157248
Dinobryon faculiferum		(T.Willén) T.Willén, 1992	Species	Chromista	Ochrophyta	Chrysophyceae	Chromulinales	Dinobryaceae	Dinobryon	160553
Dinobryon sertularia		Ehrenberg, 1834	Species	Chromista	Ochrophyta	Chrysophyceae	Chromulinales	Dinobryaceae	Dinobryon	157252
Dinobryon suecicum		Lemmermann, 1904	Species	Chromista	Ochrophyta	Chrysophyceae	Chromulinales	Dinobryaceae	Dinobryon	577553
Dinobryon suecicum var. longispinum		Lemmermann	Variety	Chromista	Ochrophyta	Chrysophyceae	Chromulinales	Dinobryaceae	Dinobryon	686238
Dinoflagellate		Fritsch, 1927	Class	Chromista	Myzozoa	Dinophyceae				19542
Dinophyceae		Fritsch, 1927	Class	Chromista	Myzozoa	Dinophyceae				19542
Dinophysis		Ehrenberg, 1839	Genus	Chromista	Myzozoa	Dinophyceae	Dinophysiales	Dinophysiaceae	Dinophysis	109462
Dinophysis acuminata		Claparède & Lachmann, 1859	Species	Chromista	Myzozoa	Dinophyceae	Dinophysiales	Dinophysiaceae	Dinophysis	109603
Dinophysis acuta		Ehrenberg, 1839	Species	Chromista	Myzozoa	Dinophyceae	Dinophysiales	Dinophysiaceae	Dinophysis	109604
Dinophysis dens		Pavillard, 1915	Species	Chromista	Myzozoa	Dinophyceae	Dinophysiales	Dinophysiaceae	Dinophysis	109616
Dinophysis hastata		Stein, 1883	Species	Chromista	Myzozoa	Dinophyceae	Dinophysiales	Dinophysiaceae	Dinophysis	109627
Dinophysis norvegica		Claparède & Lachmann, 1859	Species	Chromista	Myzozoa	Dinophyceae	Dinophysiales	Dinophysiaceae	Dinophysis	109637
Dinophysis odiosa		(Pavillard) Tai & Skogsberg, 1934	Species	Chromista	Myzozoa	Dinophyceae	Dinophysiales	Dinophysiaceae	Dinophysis	109638
Dinophysis tripos		Gourret, 1883	Species	Chromista	Myzozoa	Dinophyceae	Dinophysiales	Dinophysiaceae	Dinophysis	109662
Diploccirus glaucus		(Malmgren, 1867)	Species	Animalia	Annelida	Polychaeta	Terebellida	Flabelligeridae	Diplocirrus	130100
Diplocirrus		Haase, 1915	Genus	Animalia	Annelida	Polychaeta	Terebellida	Flabelligeridae	Diplocirrus	129290
Diplocirrus glaucus		(Malmgren, 1867)	Species	Animalia	Annelida	Polychaeta	Terebellida	Flabelligeridae	Diplocirrus	130100
Diploneis		Ehrenberg ex Cleve, 1894	Genus	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Diploneidaceae	Diploneis	149018
Diploneis elliptica		(Kützing) Cleve, 1894	Species	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Diploneidaceae	Diploneis	156558
Diploneis interrupta		(Kützing) Cleve, 1894	Species	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Diploneidaceae	Diploneis	149019
Diplopsalis		Bergh, 1881	Genus	Chromista	Myzozoa	Dinophyceae	Peridiniales	Protoperidiniaceae	Diplopsalis	109515
Diplopsalis acuta		(Apstein) Entz, 1904	Species	Chromista	Myzozoa	Dinophyceae	Peridiniales	Protoperidiniaceae	Diplopsalis	573687
Diplopsalopsis bomba		(Stein ex Jörgensen) J.D.Dodge & S.Toriumi, 1993	Species	Chromista	Myzozoa	Dinophyceae	Peridiniales	Protoperidiniaceae	Diplopsalopsis	155560
Diplosoma listerianum		(Milne Edwards, 1841)	Species	Animalia	Chordata	Ascidiacea	Aplousobranchia	Didemnidae	Diplosoma	103579
Diptera			Order	Animalia	Arthropoda	Insecta	Diptera			118088
Dissodinium pseudolunula		Swift ex Elbrächter & Drebes, 1978	Species	Chromista	Myzozoa	Dinophyceae	Pyrocystales	Pyrocystaceae	Dissodinium	110325
Distylis laevis		Norman, 1869	Species	Animalia	Arthropoda	Malacostraca	Cumacea	Diastylidae	Diastylis	110481
Ditylum brightwellii		(T.West) Grunow, 1885	Species	Chromista	Ochrophyta	Bacillariophyceae	Lithodesmiales	Lithodesmiaceae	Ditylum	149023
Dolichospermum circinale		(Rabenhorst ex Bornet & Flahault) P.Wacklin, L.Hoffmann & J.Komárek, 2009	Species	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Dolichospermum	699631
Dolichospermum crassum		(Lemmermann) P.Wacklin, L.Hoffmann & J.Komárek, 2009	Species	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Dolichospermum	625368
Dolichospermum flos-aquae		(Brébisson ex Bornet & Flahault) P.Wacklin, L.Hoffmann & J.Komárek, 2009	Species	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Dolichospermum	623803
Dolichospermum lemmermannii		(Ricter) P.Wacklin, L.Hoffmann & J.Komárek, 2009	Species	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Dolichospermum	625374
Dolichospermum macrosporum		(Kleb.) Wacklin, L.Hoffm. & Komárek	Species	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Dolichospermum	625403
Dolichospermum planctonicum		(Brunnth.) Wacklin, L.Hoffm. & Komárek, 2009	Species	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Dolichospermum	625407
Dolichospermum solitarium		(Kleb.) Wacklin, L.Hoffm. & Komárek	Species	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Dolichospermum	625410
Dolichospermum spiroides		(Kleb.) Wacklin, L.Hoffm. & Komárek, 2009	Species	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Dolichospermum	625411
Dolichospermum viguieri		(Denis & Frémy) Wacklin, L.Hoffm. & Komárek, 2009	Species	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Dolichospermum	625412
Doliolidae		Bronn, 1862	Family	Animalia	Chordata	Thaliacea	Doliolida	Doliolidae		137215
Dorididae		Rafinesque, 1815	Family	Animalia	Mollusca	Gastropoda	Nudibranchia	Dorididae		9904
Doris pseudoargus		Rapp, 1827	Species	Animalia	Mollusca	Gastropoda	Nudibranchia	Dorididae	Doris	181228
Dosinia exoleta		(Linnaeus, 1758)	Species	Animalia	Mollusca	Bivalvia	Veneroida	Veneridae	Dosinia	141911
Dosinia lincta		(Pulteney, 1799)	Species	Animalia	Mollusca	Bivalvia	Veneroida	Veneridae	Dosinia	152355
Dosinia lupinus		(Linnaeus, 1758)	Species	Animalia	Mollusca	Bivalvia	Veneroida	Veneridae	Dosinia	141912
Drilonereis filum		(Claparède, 1868)	Species	Animalia	Annelida	Polychaeta	Eunicida	Oenonidae	Drilonereis	129856
Dudresnaya verticillata		(Withering) Le Jolis, 1863	Species	Plantae	Rhodophyta	Florideophyceae	Gigartinales	Dumontiaceae	Dudresnaya	145226
Dulichia		Krøyer, 1845	Genus	Animalia	Arthropoda	Malacostraca	Amphipoda	Dulichiidae	Dulichia	101734
Dulichia tuberculata		Boeck, 1870	Species	Animalia	Arthropoda	Malacostraca	Amphipoda	Dulichiidae	Dulichia	103035
Dumontia contorta		(S.G.Gmelin) Ruprecht, 1850	Species	Plantae	Rhodophyta	Florideophyceae	Gigartinales	Dumontiaceae	Dumontia	145228
Durinskia baltica		(K.M.Levander) S.Carty & E.R.Cox, 1986	Species	Chromista	Myzozoa	Dinophyceae	Peridiniales	Peridiniaceae	Durinskia	248118
Dynamena pumila		(Linnaeus, 1758)	Species	Animalia	Cnidaria	Hydrozoa	Leptothecata	Sertulariidae	Dynamena	117888
Dyopedos		Bate, 1857	Genus	Animalia	Arthropoda	Malacostraca	Amphipoda	Dulichiidae	Dyopedos	101736
Dyopedos monacantha		(Metzger, 1875)	Species	Animalia	Arthropoda	Malacostraca	Amphipoda	Dulichiidae	Dyopedos	103042
Dyopedos porrectus		Bate, 1857	Species	Animalia	Arthropoda	Malacostraca	Amphipoda	Dulichiidae	Dyopedos	103044
Dytiscidae		Leach, 1815	Family	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae		150718
Ebalia cranchii		Leach, 1817	Species	Animalia	Arthropoda	Malacostraca	Decapoda	Leucosiidae	Ebalia	107294
Ebalia tuberosa		(Pennant, 1777)	Species	Animalia	Arthropoda	Malacostraca	Decapoda	Leucosiidae	Ebalia	107301
Ebria tripartita		(Schumann) Lemmermann, 1899	Species	Protozoa		Ebriophyceae	Ebriales	Ebriaceae	Ebria	118051
Echinidae		Gray, 1825	Family	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinidae		123160
Echinocardium		Gray, 1825	Genus	Animalia	Echinodermata	Echinoidea	Spatangoida	Loveniidae	Echinocardium	123426
Echinocardium cordatum		(Pennant, 1777)	Species	Animalia	Echinodermata	Echinoidea	Spatangoida	Loveniidae	Echinocardium	124392
Echinocardium flavescens		(O.F. Müller, 1776)	Species	Animalia	Echinodermata	Echinoidea	Spatangoida	Loveniidae	Echinocardium	124394
Echinocyamus pusillus		(O.F. Müller, 1776)	Species	Animalia	Echinodermata	Echinoidea	Clypeasteroida	Echinocyamidae	Echinocyamus	124273
Echinodermata		Bruguière, 1791 [ex Klein, 1734]	Phylum	Animalia	Echinodermata					1806
Echinogammarus marinus		(Leach, 1815)	Species	Animalia	Arthropoda	Malacostraca	Amphipoda	Gammaridae	Echinogammarus	102261
Echinoidea		Leske, 1778	Class	Animalia	Echinodermata	Echinoidea				123082
Echinus esculentus		Linnaeus, 1758	Species	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinidae	Echinus	124287
Echiurus echiurus		(Pallas, 1766)	Species	Animalia	Echiura	Echiuroidea	Echiurida	Echiuridae	Echiurus	110377
Eclysippe eliasoni		(Day, 1973)	Species	Animalia	Annelida	Polychaeta	Terebellida	Ampharetidae	Eclysippe	156074
Ectocarpales		Bessey, 1907	Order	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales			842
Ectocarpus		Lyngbye, 1819	Genus	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Ectocarpaceae	Ectocarpus	144099
Ectocarpus siliculosus		(Dillwyn) Lyngbye, 1819	Species	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Ectocarpaceae	Ectocarpus	145410
Ectoprocta			Phylum	Animalia	Ectoprocta					2601
Edwardsia danica		Carlgren, 1921	Species	Animalia	Cnidaria	Anthozoa	Actiniaria	Edwardsiidae	Edwardsia	100882
Edwardsia longicornis		Carlgren, 1921	Species	Animalia	Cnidaria	Anthozoa	Actiniaria	Edwardsiidae	Edwardsia	100889
Edwardsia tuberculata		Düben & Koren, 1847	Species	Animalia	Cnidaria	Anthozoa	Actiniaria	Edwardsiidae	Edwardsia	100894
Edwardsidae		Andres, 1881	Family	Animalia	Cnidaria	Anthozoa	Actiniaria	Edwardsiidae		100665
Edwardsiidae		Andres, 1881	Family	Animalia	Cnidaria	Anthozoa	Actiniaria	Edwardsiidae		100665
Einfeldia		Kieffer, 1924	Genus	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Einfeldia	181570
Elachista		Duby, 1830	Genus	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Chordariaceae	Elachista	143968
Elachista fucicola		(Velley) Areschoug, 1842	Species	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Chordariaceae	Elachista	144937
Elakatothrix gelatinosa		Wille, 1898	Species	Plantae	Charophyta	Klebsormidiophyceae	Klebsormidiales	Elakatotrichaceae	Elakatothrix	572036
Elakatothrix genevensis		(Reverdin) Hindak	Species	Plantae	Charophyta	Klebsormidiophyceae	Klebsormidiales	Elakatotrichaceae	Elakatothrix	578431
Elakatothrix viridis		(J.Snow) Printz, 1914	Species	Plantae	Charophyta	Klebsormidiophyceae	Klebsormidiales	Elakatotrichaceae	Elakatothrix	572037
Elatine		L.	Genus	Plantae	Tracheophyta		Malpighiales	Elatinaceae	Elatine	715981
Elatine hydropiper		L.	Species	Plantae	Tracheophyta		Malpighiales	Elatinaceae	Elatine	715988
Elatine orthosperma		Düben	Species	Plantae	Tracheophyta		Malpighiales	Elatinaceae	Elatine	716000
Elatine triandra		Schkuhr	Species	Plantae	Tracheophyta		Malpighiales	Elatinaceae	Elatine	715982
Electra crustulenta		(Pallas, 1766)	Species	Animalia	Bryozoa	Gymnolaemata	Cheilostomatida	Electridae	Electra	111353
Electra pilosa		(Linnaeus, 1767)	Species	Animalia	Bryozoa	Gymnolaemata	Cheilostomatida	Electridae	Electra	111355
Eleocharis		R. Br.	Genus	Plantae	Tracheophyta		Poales	Cyperaceae	Eleocharis	577516
Eleocharis acicularis		(L.) Roem. & Schult.	Species	Plantae	Tracheophyta		Poales	Cyperaceae	Eleocharis	593122
Eleocharis mamillata		(H. Lindb) H. Lindb.	Species	Plantae	Tracheophyta		Poales	Cyperaceae	Eleocharis	715994
Eleocharis palustris		(L.) R. Br.	Species	Plantae	Tracheophyta		Poales	Cyperaceae	Eleocharis	593121
Eleocharis parvula		(Roem. & Schult.) Bluff & al.	Species	Plantae	Tracheophyta		Poales	Cyperaceae	Eleocharis	715995
Eleocharis uniglumis		(Link) Schult.	Species	Plantae	Tracheophyta		Poales	Cyperaceae	Eleocharis	577518
Emiliania huxleyi		(Lohmann) W.W.Hay & H.P.Mohler, 1967	Species	Chromista	Haptophyta	Prymnesiophyceae	Isochrysidales	Noelaerhabdaceae	Emiliania	115104
Empididae			Family	Animalia	Arthropoda	Insecta	Diptera	Empididae		150933
enipo kinbergi		Malmgren, 1866	Species	Animalia	Annelida	Polychaeta	Phyllodocida	Polynoidae	Enipo	130738
Ennucula tenuis		(Montagu, 1808)	Species	Animalia	Mollusca	Bivalvia	Nuculida	Nuculidae	Ennucula	140584
Ensis		Schumacher, 1817	Genus	Animalia	Mollusca	Bivalvia	[unassigned] Euheterodonta	Pharidae	Ensis	138333
Ensis directus		(Conrad, 1843)	Species	Animalia	Mollusca	Bivalvia	[unassigned] Euheterodonta	Pharidae	Ensis	140732
Ensis ensis		(Linnaeus, 1758)	Species	Animalia	Mollusca	Bivalvia	[unassigned] Euheterodonta	Pharidae	Ensis	140733
Entalina tetragona		(Brocchi, 1814)	Species	Animalia	Mollusca	Scaphopoda	Gadilida	Entalinidae	Entalina	139691
Entelurus aequoraeus		(Linnaeus, 1758)	Species	Animalia	Chordata	Actinopteri	Syngnathiformes	Syngnathidae	Entelurus	400968
Enteromorpha		Link, 1820	Genus	Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvaceae	Enteromorpha	144294
Enteropneusta		Gegenbaur, 1870	Class	Animalia	Hemichordata	Enteropneusta				1820
Entomoneis		Ehrenberg, 1845	Genus	Chromista	Ochrophyta	Bacillariophyceae	Surirellales	Entomoneidaceae	Entomoneis	156598
Entomoneis paludosa		(W.Smith) Reimer, 1975	Species	Chromista	Ochrophyta	Bacillariophyceae	Surirellales	Entomoneidaceae	Entomoneis	163646
Ephemera danica		Müller, 1764	Species	Animalia	Arthropoda	Insecta	Ephemeroptera	Ephemeridae	Ephemera	235816
Ephemeroptera			Order	Animalia	Arthropoda	Insecta	Ephemeroptera			235812
Ephydatia		Lamouroux, 1816	Genus	Animalia	Porifera	Demospongiae	Spongillida	Spongillidae	Ephydatia	167141
Ephydatia fluviatilis		(Linnaeus, 1759)	Species	Animalia	Porifera	Demospongiae	Spongillida	Spongillidae	Ephydatia	167144
Epipyxis		Ehrenberg, 1838	Genus	Chromista	Ochrophyta	Chrysophyceae	Chromulinales	Dinobryaceae	Epipyxis	248119
Epitoniidae		Berry, 1910 (1812)	Family	Animalia	Mollusca	Gastropoda	[unassigned] Caenogastropoda	Epitoniidae		132
Epitonium		Röding, 1798	Genus	Animalia	Mollusca	Gastropoda	[unassigned] Caenogastropoda	Epitoniidae	Epitonium	137943
Epitonium clathratulum		(Kanmacher, 1798)	Species	Animalia	Mollusca	Gastropoda	[unassigned] Caenogastropoda	Epitoniidae	Epitonium	139718
Epitonium clathrus		(Linnaeus, 1758)	Species	Animalia	Mollusca	Gastropoda	[unassigned] Caenogastropoda	Epitoniidae	Epitonium	146905
Epitonium trevelyanum		(Johnston, 1841)	Species	Animalia	Mollusca	Gastropoda	[unassigned] Caenogastropoda	Epitoniidae	Epitonium	139736
Epitonium turtonis		(Turton, 1819)	Species	Animalia	Mollusca	Gastropoda	[unassigned] Caenogastropoda	Epitoniidae	Epitonium	139738
Ericthonius		Milne Edwards, 1830	Genus	Animalia	Arthropoda	Malacostraca	Amphipoda	Ischyroceridae	Ericthonius	101567
Eriopisa elongata		(Bruzelius, 1859)	Species	Animalia	Arthropoda	Malacostraca	Amphipoda	Eriopisidae	Eriopisa	102807
Erythrocladia irregularis		Rosenvinge, 1909	Species	Plantae	Rhodophyta	Compsopogonophyceae	Erythropeltidales	Erythrotrichiaceae	Erythrocladia	145487
Erythrodermis traillii		(Holmes ex Batters) Guiry & Garbary, 1990	Species	Plantae	Rhodophyta	Florideophyceae	Gigartinales	Phyllophoraceae	Erythrodermis	145655
Erythrops elegans		(Sars G.O., 1863)	Species	Animalia	Arthropoda	Malacostraca	Mysida	Mysidae	Erythrops	119997
Erythrops erythrophthalma		(Goës, 1864)	Species	Animalia	Arthropoda	Malacostraca	Mysida	Mysidae	Erythrops	119998
Esox lucius		Linnaeus, 1758	Species	Animalia	Chordata	Actinopteri	Esociformes	Esocidae	Esox	154210
Eteone		Savigny, 1818	Genus	Animalia	Annelida	Polychaeta	Phyllodocida	Phyllodocidae	Eteone	129443
Eteone barbata		Malmgren, 1865	Species	Animalia	Annelida	Polychaeta	Phyllodocida	Phyllodocidae	Eteone	231870
Eteone flava		(Fabricius, 1780)	Species	Animalia	Annelida	Polychaeta	Phyllodocida	Phyllodocidae	Eteone	130613
Eteone foliosa		Quatrefages, 1866	Species	Animalia	Annelida	Polychaeta	Phyllodocida	Phyllodocidae	Eteone	130614
Eteone longa		(Fabricius, 1780)	Species	Animalia	Annelida	Polychaeta	Phyllodocida	Phyllodocidae	Eteone	130616
Eteone spetsbergensis		Malmgren, 1865	Species	Animalia	Annelida	Polychaeta	Phyllodocida	Phyllodocidae	Eteone	130618
Euastrum		Ehrenberg ex Ralfs, 1848	Genus	Plantae	Charophyta	Zygnematophyceae	Zygnematales	Desmidiaceae	Euastrum	577667
Eucampia groenlandica		Cleve, 1896	Species	Chromista	Ochrophyta	Bacillariophyceae	Hemiaulales	Hemiaulaceae	Eucampia	157430
Eucampia zodiacus		Ehrenberg, 1839	Species	Chromista	Ochrophyta	Bacillariophyceae	Hemiaulales	Hemiaulaceae	Eucampia	149131
Euchaetidae		Giesbrecht, 1893	Family	Animalia	Arthropoda		Calanoida	Euchaetidae		104086
Euchlanis		Ehrenberg, 1832	Genus	Animalia	Rotifera	Eurotatoria	Ploima	Euchlanidae	Euchlanis	134939
Euchone		Malmgren, 1866	Genus	Animalia	Annelida	Polychaeta	Sabellida	Sabellidae	Euchone	129528
Euchone analis		(Kröyer, 1856)	Species	Animalia	Annelida	Polychaeta	Sabellida	Sabellidae	Euchone	130903
Euchone papillosa		(Sars, 1851)	Species	Animalia	Annelida	Polychaeta	Sabellida	Sabellidae	Euchone	130906
Euclymene		Verrill, 1900	Genus	Animalia	Annelida	Polychaeta		Maldanidae	Euclymene	129347
Euclymene droebachiensis		(Sars, 1872)	Species	Animalia	Annelida	Polychaeta		Maldanidae	Euclymene	130291
Euclymeninae		Arwidsson, 1906	Subfamily	Animalia	Annelida	Polychaeta		Maldanidae		152232
Eudendrium rameum		(Pallas, 1766)	Species	Animalia	Cnidaria	Hydrozoa	Anthoathecata	Eudendriidae	Eudendrium	117554
Eudesme virescens		(Carmichael ex Berkeley) J.Agardh, 1882	Species	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Chordariaceae	Eudesme	144918
Eudorella emarginata		(Krøyer, 1846)	Species	Animalia	Arthropoda	Malacostraca	Cumacea	Leuconidae	Eudorella	110524
Eudorella truncatula		(Bate, 1856)	Species	Animalia	Arthropoda	Malacostraca	Cumacea	Leuconidae	Eudorella	110535
Eudorina		Ehrenberg, 1832	Genus	Plantae	Chlorophyta	Chlorophyceae	Volvocales	Volvocaceae	Eudorina	390664
Eudorina unicocca		G.M.Smith, 1931	Species	Plantae	Chlorophyta	Chlorophyceae	Volvocales	Volvocaceae	Eudorina	616522
Eugerda tenuimana		(Sars G.O., 1868)	Species	Animalia	Arthropoda	Malacostraca	Isopoda	Desmosomatidae	Eugerda	118559
Euglena		Ehrenberg, 1830	Genus	Protozoa	Euglenozoa	Euglenoidea	Euglenida	Euglenaceae	Euglena	8012
Euglena acus		(O.F.Müller) Ehrenberg, 1830	Species	Protozoa	Euglenozoa	Euglenoidea	Euglenida	Euglenaceae	Euglena	163399
Euglena allorgei		Deflandre, 1924	Species	Protozoa	Euglenozoa	Euglenoidea	Euglenida	Euglenaceae	Euglena	615687
Euglena hemichromata		Skuja, 1948	Species	Protozoa	Euglenozoa	Euglenoidea	Euglenida	Euglenaceae	Euglena	163457
Euglena oxyuris		Schmarda, 1846	Species	Protozoa	Euglenozoa	Euglenoidea	Euglenida	Euglenaceae	Euglena	163119
Euglenales		Bütschli, 1884	Order	Protozoa	Euglenozoa	Euglenophyceae	Euglenales			21000
Euglenophyceae		Schoenichen, 1925	Class	Protozoa	Euglenozoa	Euglenophyceae				19539
Eulalia viridis		(Linnaeus, 1767)	Species	Animalia	Annelida	Polychaeta	Phyllodocida	Phyllodocidae	Eulalia	130639
Eulimella acicula		(Philippi, 1836)	Species	Animalia	Mollusca	Gastropoda		Pyramidellidae	Eulimella	140942
Eulimidae		Philippi, 1853	Family	Animalia	Mollusca	Gastropoda	[unassigned] Caenogastropoda	Eulimidae		135
Eumida		Malmgren, 1865	Genus	Animalia	Annelida	Polychaeta	Phyllodocida	Phyllodocidae	Eumida	129446
Eumida bahusiensis		Bergstrom, 1914	Species	Animalia	Annelida	Polychaeta	Phyllodocida	Phyllodocidae	Eumida	130641
Eumida ockelmanni		Eibye-Jacobsen, 1987	Species	Animalia	Annelida	Polychaeta	Phyllodocida	Phyllodocidae	Eumida	130642
Eumida sanguinea		(Örsted, 1843)	Species	Animalia	Annelida	Polychaeta	Phyllodocida	Phyllodocidae	Eumida	130644
Eunereis elitoralis		(Eliason, 1962)	Species	Animalia	Annelida	Polychaeta	Phyllodocida	Nereididae	Eunereis	130374
Eunereis longissima		Johnston, 1840	Species	Animalia	Annelida	Polychaeta	Phyllodocida	Nereididae	Eunereis	130375
Eunoe nodosa		(M. Sars, 1861)	Species	Animalia	Annelida	Polychaeta	Phyllodocida	Polynoidae	Eunoe	130745
Eunotia		Ehrenberg, 1837	Genus	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia	149402
Euphausiacea		Dana, 1852	Order	Animalia	Arthropoda	Malacostraca	Euphausiacea			1128
